user_name,event_id,event_name,start_datetime
reynoldschristopher,209,Ballet Recital,2023-06-22T22:00:00
reynoldschristopher,224,Zumba Dance Party,2026-07-10T02:00:00
reynoldschristopher,233,Ballroom Dance Class,2029-08-09T15:00:00
noah18,120,Paris-Roubaix 2023,2022-02-02T10:00:00
noah18,126,Vuelta a España Stage 12,2030-10-10T16:00:00
noah18,130,UCI Cyclo-cross World Championships 2028,2028-05-15T16:00:00
benjaminpalmer,10,Dua Lipa Future Nostalgia Tour,2023-12-03T06:00:00
benjaminpalmer,13,Justin Bieber Purpose World Tour,2023-05-06T22:00:00
benjaminpalmer,18,Ed Sheeran +-=÷× Tour,2026-06-22T14:00:00
benjaminpalmer,20,The Weeknd After Hours Til Dawn Tour,2028-04-26T23:00:00
benjaminpalmer,17,Olivia Rodrigo GUTS Tour,2027-08-11T18:00:00
allisonheidi,74,Wimbledon Men's Final 2023,2022-01-04T13:00:00
allisonheidi,79,WTA Finals 2028,2029-12-27T10:00:00
sarahsmith,61,EuroLeague Championship,2020-05-20T22:00:00
sarahsmith,64,FIBA EuroBasket Final,2024-10-07T15:00:00
sarahsmith,62,WNBA Finals Game 5,2023-08-26T03:00:00
sarahsmith,63,Olympic Basketball Final,2021-11-07T08:00:00
sarahsmith,69,Olympic Basketball Qualifiers,2028-06-22T08:00:00
sarahsmith,70,EuroLeague Final Four,2026-12-01T10:00:00
sarahsmith,67,FIBA World Cup 2027,2027-09-24T09:00:00
gardnerchristina,171,World Blitz Chess Championship 2023,2020-07-09T22:00:00
gardnerchristina,170,World Rapid Chess Championship 2023,2020-04-12T07:00:00
gardnerchristina,166,World Chess Championship 2023,2024-04-22T15:00:00
gardnerchristina,168,Grand Slam Chess Tournament 2023,2024-07-24T11:00:00
gardnerchristina,172,FIDE Grand Prix 2023,2020-02-15T06:00:00
gardnerchristina,173,World Chess Championship 2028,2028-07-11T19:00:00
summersangela,243,Yoga for Strength Workshop,2021-10-20T12:00:00
summersangela,242,Yoga for Flexibility Workshop,2023-07-11T18:00:00
summersangela,244,Yoga for Balance Workshop,2024-12-25T10:00:00
summersangela,238,Morning Vinyasa Flow,2020-05-23T15:00:00
summersangela,241,Yoga for Stress Relief Workshop,2021-11-23T07:00:00
summersangela,252,Yoga for Balance Workshop,2027-03-16T13:00:00
lisashields,149,Krakow Half Marathon 2023,2022-05-03T23:00:00
lisashields,150,Gdynia 10K Run 2023,2023-09-17T22:00:00
lisashields,152,Wroclaw Half Marathon 2023,2022-03-10T01:00:00
lisashields,153,Lodz 10K Run 2023,2022-05-12T05:00:00
lisashields,148,Warsaw Marathon 2023,2023-02-24T11:00:00
lisashields,162,Gdynia Half Marathon 2027,2026-10-03T02:00:00
robertsjill,106,FINA Grand Prix 2023,2021-10-06T15:00:00
robertsjill,111,FINA World Cup 2028,2030-11-08T02:00:00
heather86,89,AVP Beach Volleyball Final,2021-05-11T21:00:00
heather86,87,FIVB World Championship Final,2021-01-24T23:00:00
heather86,88,NCAA Volleyball Championship,2021-11-18T22:00:00
heather86,92,FIVB Club World Championship Final,2023-02-21T03:00:00
heather86,101,FIVB U21 World Championship Final,2027-07-01T03:00:00
heather86,94,FIVB World Championship 2026,2027-03-17T17:00:00
heather86,98,FIVB Grand Prix 2027,2030-05-27T10:00:00
sean43,207,Ballroom Dance Competition,2021-03-06T06:00:00
sean43,209,Ballet Recital,2023-06-22T22:00:00
sean43,214,Ballroom Dance Showcase,2023-01-27T08:00:00
sean43,211,Salsa Dance Festival,2021-02-14T19:00:00
sean43,212,Zumba Dance Party,2022-06-20T23:00:00
sean43,210,Hip Hop Dance Battle,2023-05-12T13:00:00
sean43,215,Jazz Dance Performance,2023-03-10T14:00:00
sean43,236,Hip Hop Dance Workshop,2028-09-20T14:00:00
joshua55,106,FINA Grand Prix 2023,2021-10-06T15:00:00
joshua55,102,Olympic Swimming Finals 2024,2021-04-13T16:00:00
joshua55,108,Olympic Swimming Trials 2028,2028-01-20T07:00:00
brendamathews,168,Grand Slam Chess Tournament 2023,2024-07-24T11:00:00
brendamathews,166,World Chess Championship 2023,2024-04-22T15:00:00
brendamathews,179,FIDE Grand Prix 2028,2028-12-15T08:00:00
brendamathews,178,World Blitz Chess Championship 2028,2028-04-13T04:00:00
brendamathews,173,World Chess Championship 2028,2028-07-11T19:00:00
john22,138,Guided Hike in the Sudetes Mountains,2020-11-15T14:00:00
john22,134,Guided Hike in the Tatra Mountains,2022-06-26T02:00:00
john22,137,Guided Hike in the Karkonosze Mountains,2020-06-17T13:00:00
john22,142,Guided Hike in the Pieniny Mountains,2030-05-27T22:00:00
john22,146,Guided Hike in the Tatra Mountains - Winter Edition,2029-02-10T19:00:00
jaredwilliams,45,CONCACAF Champions League Final,2022-08-10T16:00:00
jaredwilliams,39,Super Lig Istanbul Derby,2021-11-02T04:00:00
jaredwilliams,34,MLS All-Star Game,2022-01-24T20:00:00
jaredwilliams,30,Premier League Derby,2021-02-15T19:00:00
jaredwilliams,31,La Liga El Clasico,2022-01-22T19:00:00
jaredwilliams,42,MLS Eastern Conference Final,2023-11-11T10:00:00
jaredwilliams,35,Ligue 1 Paris Derby,2021-06-21T15:00:00
jaredwilliams,32,Serie A Milan Derby,2020-04-08T11:00:00
jaredwilliams,57,UEFA Europa Conference League Final,2030-04-14T12:00:00
james92,75,French Open Women's Semi-final,2020-08-08T20:00:00
james92,80,Davis Cup Final 2028,2028-11-04T03:00:00
james92,81,Fed Cup Final 2028,2028-06-03T11:00:00
fphillips,91,FIVB Grand Prix Final,2022-05-16T13:00:00
fphillips,89,AVP Beach Volleyball Final,2021-05-11T21:00:00
fphillips,92,FIVB Club World Championship Final,2023-02-21T03:00:00
fphillips,98,FIVB Grand Prix 2027,2030-05-27T10:00:00
youngtony,260,Big Data and Analytics Conference 2023,2023-11-20T16:00:00
youngtony,257,Blockchain Technology Summit 2023,2022-05-19T08:00:00
youngtony,261,Internet of Things (IoT) Conference 2023,2024-10-05T16:00:00
youngtony,268,Cloud Computing and Virtualization Conference 2028,2029-10-05T04:00:00
youngtony,275,Future of Quantum Computing Conference 2028,2027-12-13T17:00:00
andrewbullock,107,FINA Swimming World Series 2023,2020-03-13T02:00:00
andrewbullock,112,FINA Grand Prix 2028,2028-02-17T01:00:00
andrewbullock,108,Olympic Swimming Trials 2028,2028-01-20T07:00:00
andrewbullock,113,FINA Swimming World Series 2028,2027-03-23T13:00:00
adamwilliams,192,World Championship of Online Poker 2023,2023-11-09T07:00:00
adamwilliams,188,Magic: The Gathering World Championship 2023,2021-12-10T01:00:00
adamwilliams,186,KeyForge World Championship 2023,2022-11-21T09:00:00
adamwilliams,185,Flesh and Blood World Championship 2023,2024-04-01T17:00:00
adamwilliams,191,World Championship of Online Poker 2023,2024-05-16T01:00:00
adamwilliams,180,World Series of Poker 2023,2024-12-25T15:00:00
adamwilliams,200,Pokemon World Championship 2028,2027-02-19T08:00:00
adamwilliams,194,Magic: The Gathering Pro Tour 2028,2029-09-13T12:00:00
woodsbenjamin,65,NCAA Championship Game,2020-12-13T08:00:00
woodsbenjamin,60,NBA Finals Game 7 2024,2022-04-15T18:00:00
woodsbenjamin,62,WNBA Finals Game 5,2023-08-26T03:00:00
woodsbenjamin,68,NCAA Final Four 2028,2030-01-24T06:00:00
woodsbenjamin,73,FIBA U17 World Cup Final,2030-11-23T12:00:00
woodsbenjamin,72,FIBA U19 World Cup Final,2026-06-15T21:00:00
josephpineda,13,Justin Bieber Purpose World Tour,2023-05-06T22:00:00
josephpineda,9,Taylor Swift Eras Tour Warsaw,2023-04-11T21:00:00
josephpineda,22,Demi Lovato Holy Fvck Tour,2027-12-19T18:00:00
josephpineda,17,Olivia Rodrigo GUTS Tour,2027-08-11T18:00:00
lynn05,168,Grand Slam Chess Tournament 2023,2024-07-24T11:00:00
lynn05,166,World Chess Championship 2023,2024-04-22T15:00:00
lynn05,172,FIDE Grand Prix 2023,2020-02-15T06:00:00
lynn05,173,World Chess Championship 2028,2028-07-11T19:00:00
sydney65,170,World Rapid Chess Championship 2023,2020-04-12T07:00:00
sydney65,167,Candidates Tournament 2023,2023-09-27T12:00:00
sydney65,171,World Blitz Chess Championship 2023,2020-07-09T22:00:00
sydney65,177,World Rapid Chess Championship 2028,2026-01-03T05:00:00
sydney65,176,Chess Olympiad 2028,2029-02-20T17:00:00
gloverjeffrey,276,Nature Photography Walk,2022-07-21T01:00:00
gloverjeffrey,280,Nature Photography Walk,2026-02-03T13:00:00
hhunt,308,Creative Writing Workshop,2024-09-20T12:00:00
hhunt,319,Playwriting Workshop,2026-05-26T14:00:00
hhunt,316,Non-Fiction Writing Workshop,2029-05-08T03:00:00
pkeller,105,FINA World Cup 2023,2024-04-20T21:00:00
pkeller,102,Olympic Swimming Finals 2024,2021-04-13T16:00:00
pkeller,103,World Swimming Championships 2023,2022-12-02T19:00:00
pkeller,115,FINA Swimming World Championships 2028,2030-10-25T03:00:00
johnsonkristen,321,Genetics and Genomics Conference 2023,2024-10-09T13:00:00
johnsonkristen,330,Physics and Astronomy Conference 2028,2028-12-07T07:00:00
vjimenez,243,Yoga for Strength Workshop,2021-10-20T12:00:00
vjimenez,251,Yoga for Strength Workshop,2030-04-07T08:00:00
vjimenez,254,Yoga for Seniors Workshop,2029-05-17T18:00:00
brianjohnson,294,Vegetarian Cooking Class,2022-04-27T06:00:00
brianjohnson,296,Gluten-Free Cooking Class,2024-07-13T20:00:00
brianjohnson,287,Italian Cuisine Cooking Class,2023-02-20T23:00:00
brianjohnson,289,Japanese Cuisine Cooking Class,2022-07-12T20:00:00
brianjohnson,293,Baking Basics Cooking Class,2024-02-18T05:00:00
brianjohnson,305,Vegan Cooking Class,2029-06-25T05:00:00
brianjohnson,307,Healthy Cooking Class,2029-08-18T03:00:00
troyclarke,62,WNBA Finals Game 5,2023-08-26T03:00:00
troyclarke,63,Olympic Basketball Final,2021-11-07T08:00:00
troyclarke,61,EuroLeague Championship,2020-05-20T22:00:00
troyclarke,66,NBA All-Star Game,2023-01-08T01:00:00
troyclarke,67,FIBA World Cup 2027,2027-09-24T09:00:00
troyclarke,72,FIBA U19 World Cup Final,2026-06-15T21:00:00
dawnanderson,153,Lodz 10K Run 2023,2022-05-12T05:00:00
dawnanderson,151,Poznan Marathon 2023,2020-10-12T18:00:00
dawnanderson,152,Wroclaw Half Marathon 2023,2022-03-10T01:00:00
dawnanderson,165,Lodz Half Marathon 2027,2030-06-23T19:00:00
rroberts,294,Vegetarian Cooking Class,2022-04-27T06:00:00
rroberts,297,Italian Cuisine Cooking Class,2027-08-10T20:00:00
rroberts,306,Gluten-Free Cooking Class,2029-07-18T15:00:00
danielsjimmy,41,J-League Tokyo Derby,2021-12-27T16:00:00
danielsjimmy,40,A-League Sydney Derby,2024-02-14T13:00:00
danielsjimmy,39,Super Lig Istanbul Derby,2021-11-02T04:00:00
danielsjimmy,29,Champions League Final 2023,2022-10-19T19:00:00
danielsjimmy,43,MLS Western Conference Final,2022-11-07T12:00:00
danielsjimmy,48,Copa America 2027 Final,2026-05-03T03:00:00
sherrygross,170,World Rapid Chess Championship 2023,2020-04-12T07:00:00
sherrygross,176,Chess Olympiad 2028,2029-02-20T17:00:00
sherrygross,173,World Chess Championship 2028,2028-07-11T19:00:00
derekhaynes,278,Street Photography Walk,2022-11-04T18:00:00
derekhaynes,279,Wildlife Photography Walk,2023-12-09T07:00:00
derekhaynes,277,Urban Photography Walk,2023-11-16T04:00:00
derekhaynes,286,Astrophotography Walk,2028-06-10T20:00:00
derekhaynes,285,Landscape Photography Walk,2026-07-04T21:00:00
derekhaynes,282,Street Photography Walk,2028-01-17T02:00:00
marshalljeffrey,322,Neuroscience Conference 2023,2020-06-27T04:00:00
marshalljeffrey,330,Physics and Astronomy Conference 2028,2028-12-07T07:00:00
marshalljeffrey,328,Genetics and Genomics Conference 2028,2026-11-11T06:00:00
chenjared,45,CONCACAF Champions League Final,2022-08-10T16:00:00
chenjared,41,J-League Tokyo Derby,2021-12-27T16:00:00
chenjared,43,MLS Western Conference Final,2022-11-07T12:00:00
chenjared,38,Scottish Premiership Old Firm,2021-04-22T12:00:00
chenjared,44,MLS Cup Final,2020-08-02T19:00:00
chenjared,37,Primeira Liga O Clássico,2020-05-16T04:00:00
chenjared,31,La Liga El Clasico,2022-01-22T19:00:00
chenjared,40,A-League Sydney Derby,2024-02-14T13:00:00
chenjared,42,MLS Eastern Conference Final,2023-11-11T10:00:00
chenjared,29,Champions League Final 2023,2022-10-19T19:00:00
chenjared,33,Bundesliga Der Klassiker,2022-03-26T03:00:00
chenjared,30,Premier League Derby,2021-02-15T19:00:00
chenjared,35,Ligue 1 Paris Derby,2021-06-21T15:00:00
chenjared,56,UEFA Europa League Final,2029-05-08T19:00:00
robinsonkevin,74,Wimbledon Men's Final 2023,2022-01-04T13:00:00
robinsonkevin,75,French Open Women's Semi-final,2020-08-08T20:00:00
robinsonkevin,76,Australian Open 2029,2028-03-08T02:00:00
crystalosborne,203,Beginner Hip Hop Class,2022-11-20T19:00:00
crystalosborne,208,Jazz Dance Workshop,2020-01-12T02:00:00
crystalosborne,212,Zumba Dance Party,2022-06-20T23:00:00
crystalosborne,205,Salsa Social Dance Night,2022-08-10T16:00:00
crystalosborne,206,Contemporary Dance Performance,2024-08-26T21:00:00
crystalosborne,233,Ballroom Dance Class,2029-08-09T15:00:00
davismark,9,Taylor Swift Eras Tour Warsaw,2023-04-11T21:00:00
davismark,13,Justin Bieber Purpose World Tour,2023-05-06T22:00:00
davismark,11,Harry Styles Love on Tour,2023-12-08T09:00:00
davismark,10,Dua Lipa Future Nostalgia Tour,2023-12-03T06:00:00
davismark,12,Ariana Grande Dangerous,2022-03-06T17:00:00
davismark,15,Shawn Mendes Illuminate World Tour,2023-05-25T06:00:00
davismark,18,Ed Sheeran +-=÷× Tour,2026-06-22T14:00:00
davismark,20,The Weeknd After Hours Til Dawn Tour,2028-04-26T23:00:00
michael16,326,Environmental Science Conference 2023,2020-11-03T02:00:00
michael16,321,Genetics and Genomics Conference 2023,2024-10-09T13:00:00
michael16,325,Biology Conference 2023,2023-10-12T02:00:00
michael16,324,Chemistry Conference 2023,2024-08-03T16:00:00
michael16,323,Physics and Astronomy Conference 2023,2020-11-01T23:00:00
michael16,331,Chemistry Conference 2028,2030-08-03T13:00:00
walshterry,135,Guided Hike in the Bieszczady Mountains,2020-01-10T15:00:00
walshterry,141,Guided Hike in the Bieszczady Mountains,2029-09-27T02:00:00
walshterry,142,Guided Hike in the Pieniny Mountains,2030-05-27T22:00:00
walshterry,144,Guided Hike in the Sudetes Mountains,2027-03-25T23:00:00
amberpaul,90,CEV Champions League Final,2024-10-27T10:00:00
amberpaul,89,AVP Beach Volleyball Final,2021-05-11T21:00:00
amberpaul,92,FIVB Club World Championship Final,2023-02-21T03:00:00
amberpaul,98,FIVB Grand Prix 2027,2030-05-27T10:00:00
angiehill,310,Fiction Writing Workshop,2020-04-07T17:00:00
angiehill,314,Poetry Writing Workshop,2027-01-27T05:00:00
angiehill,316,Non-Fiction Writing Workshop,2029-05-08T03:00:00
melanie10,276,Nature Photography Walk,2022-07-21T01:00:00
melanie10,277,Urban Photography Walk,2023-11-16T04:00:00
melanie10,283,Wildlife Photography Walk,2030-04-03T02:00:00
melanie10,284,Portrait Photography Walk,2030-02-09T18:00:00
melanie10,285,Landscape Photography Walk,2026-07-04T21:00:00
jenningsdale,63,Olympic Basketball Final,2021-11-07T08:00:00
jenningsdale,65,NCAA Championship Game,2020-12-13T08:00:00
jenningsdale,62,WNBA Finals Game 5,2023-08-26T03:00:00
jenningsdale,60,NBA Finals Game 7 2024,2022-04-15T18:00:00
jenningsdale,61,EuroLeague Championship,2020-05-20T22:00:00
jenningsdale,73,FIBA U17 World Cup Final,2030-11-23T12:00:00
jenningsdale,72,FIBA U19 World Cup Final,2026-06-15T21:00:00
jenningsdale,69,Olympic Basketball Qualifiers,2028-06-22T08:00:00
susan71,150,Gdynia 10K Run 2023,2023-09-17T22:00:00
susan71,154,Warsaw Marathon 2027,2026-04-07T11:00:00
phamwilliam,308,Creative Writing Workshop,2024-09-20T12:00:00
phamwilliam,309,Poetry Writing Workshop,2024-07-22T08:00:00
phamwilliam,316,Non-Fiction Writing Workshop,2029-05-08T03:00:00
williamsamanda,210,Hip Hop Dance Battle,2023-05-12T13:00:00
williamsamanda,208,Jazz Dance Workshop,2020-01-12T02:00:00
williamsamanda,205,Salsa Social Dance Night,2022-08-10T16:00:00
williamsamanda,221,Ballet Recital,2029-03-22T07:00:00
williamsamanda,217,Advanced Salsa Class Series,2027-03-21T10:00:00
williamsamanda,216,Zumba Fitness Session,2026-09-17T03:00:00
blakemichael,123,UCI Mountain Bike World Championships,2022-06-23T17:00:00
blakemichael,120,Paris-Roubaix 2023,2022-02-02T10:00:00
blakemichael,117,Giro d'Italia Stage 5,2021-05-26T16:00:00
blakemichael,122,UCI Cyclo-cross World Championships,2024-06-27T16:00:00
blakemichael,127,UCI Road World Championships 2028,2027-11-24T06:00:00
blakemichael,125,Giro d'Italia Stage 10,2026-12-22T21:00:00
troberts,191,World Championship of Online Poker 2023,2024-05-16T01:00:00
troberts,182,Yu-Gi-Oh! World Championship 2023,2024-11-16T12:00:00
troberts,190,World Championship of Online Poker 2023,2022-07-02T13:00:00
troberts,192,World Championship of Online Poker 2023,2023-11-09T07:00:00
troberts,180,World Series of Poker 2023,2024-12-25T15:00:00
troberts,184,Gwent Masters 2023,2022-12-22T23:00:00
troberts,188,Magic: The Gathering World Championship 2023,2021-12-10T01:00:00
troberts,183,Hearthstone World Championship 2023,2020-02-24T03:00:00
troberts,181,Magic: The Gathering Pro Tour 2023,2024-11-05T13:00:00
troberts,202,World Championship of Online Poker 2028,2026-12-24T09:00:00
wcarter,257,Blockchain Technology Summit 2023,2022-05-19T08:00:00
wcarter,262,Augmented Reality and Virtual Reality Conference 2023,2020-03-11T04:00:00
wcarter,263,5G Technology Conference 2023,2021-12-10T03:00:00
wcarter,258,Cybersecurity and Data Protection Conference 2023,2020-10-02T09:00:00
wcarter,271,Augmented Reality and Virtual Reality Conference 2028,2026-07-18T20:00:00
jonesashley,4,Queens of the Stone Age Villains Tour,2023-09-07T10:00:00
jonesashley,1,The Stone Roses Reunion,2021-02-23T15:00:00
jonesashley,7,Greta Van Fleet Starcatcher Tour,2026-03-27T22:00:00
jonesashley,8,The Black Keys Dropout Boogie Tour,2027-10-25T18:00:00
lyoder,137,Guided Hike in the Karkonosze Mountains,2020-06-17T13:00:00
lyoder,134,Guided Hike in the Tatra Mountains,2022-06-26T02:00:00
lyoder,136,Guided Hike in the Pieniny Mountains,2024-05-27T18:00:00
lyoder,146,Guided Hike in the Tatra Mountains - Winter Edition,2029-02-10T19:00:00
lyoder,142,Guided Hike in the Pieniny Mountains,2030-05-27T22:00:00
lyoder,141,Guided Hike in the Bieszczady Mountains,2029-09-27T02:00:00
ytorres,75,French Open Women's Semi-final,2020-08-08T20:00:00
ytorres,80,Davis Cup Final 2028,2028-11-04T03:00:00
ytorres,76,Australian Open 2029,2028-03-08T02:00:00
ytorres,78,ATP Finals 2028,2030-11-06T14:00:00
michellechapman,89,AVP Beach Volleyball Final,2021-05-11T21:00:00
michellechapman,101,FIVB U21 World Championship Final,2027-07-01T03:00:00
jeremycarroll,153,Lodz 10K Run 2023,2022-05-12T05:00:00
jeremycarroll,150,Gdynia 10K Run 2023,2023-09-17T22:00:00
jeremycarroll,151,Poznan Marathon 2023,2020-10-12T18:00:00
jeremycarroll,148,Warsaw Marathon 2023,2023-02-24T11:00:00
jeremycarroll,160,Warsaw Half Marathon 2027,2026-11-21T01:00:00
robert93,74,Wimbledon Men's Final 2023,2022-01-04T13:00:00
robert93,76,Australian Open 2029,2028-03-08T02:00:00
robert93,84,Ryder Cup 2028,2030-07-01T01:00:00
daniellegoodwin,148,Warsaw Marathon 2023,2023-02-24T11:00:00
daniellegoodwin,163,Poznan 10K Run 2027,2027-06-09T11:00:00
bartondenise,208,Jazz Dance Workshop,2020-01-12T02:00:00
bartondenise,211,Salsa Dance Festival,2021-02-14T19:00:00
bartondenise,206,Contemporary Dance Performance,2024-08-26T21:00:00
bartondenise,210,Hip Hop Dance Battle,2023-05-12T13:00:00
bartondenise,209,Ballet Recital,2023-06-22T22:00:00
bartondenise,214,Ballroom Dance Showcase,2023-01-27T08:00:00
bartondenise,205,Salsa Social Dance Night,2022-08-10T16:00:00
bartondenise,212,Zumba Dance Party,2022-06-20T23:00:00
bartondenise,217,Advanced Salsa Class Series,2027-03-21T10:00:00
bartondenise,222,Hip Hop Dance Battle,2027-05-04T10:00:00
bartondenise,230,Salsa Dance Class,2026-04-07T19:00:00
david39,172,FIDE Grand Prix 2023,2020-02-15T06:00:00
david39,170,World Rapid Chess Championship 2023,2020-04-12T07:00:00
david39,167,Candidates Tournament 2023,2023-09-27T12:00:00
david39,178,World Blitz Chess Championship 2028,2028-04-13T04:00:00
david39,173,World Chess Championship 2028,2028-07-11T19:00:00
mjacobs,244,Yoga for Balance Workshop,2024-12-25T10:00:00
mjacobs,253,Yoga for Mindfulness Workshop,2026-08-17T05:00:00
mjacobs,249,Yoga for Stress Relief Workshop,2028-01-06T07:00:00
mjacobs,246,Evening Restorative Yoga,2030-02-03T05:00:00
rodriguezjennifer,60,NBA Finals Game 7 2024,2022-04-15T18:00:00
rodriguezjennifer,62,WNBA Finals Game 5,2023-08-26T03:00:00
rodriguezjennifer,65,NCAA Championship Game,2020-12-13T08:00:00
rodriguezjennifer,66,NBA All-Star Game,2023-01-08T01:00:00
rodriguezjennifer,64,FIBA EuroBasket Final,2024-10-07T15:00:00
rodriguezjennifer,71,WNBA All-Star Game,2029-01-20T18:00:00
brucelewis,11,Harry Styles Love on Tour,2023-12-08T09:00:00
brucelewis,23,Shawn Mendes Wonder World Tour,2027-12-08T14:00:00
evelyn01,121,Tour of Flanders 2023,2024-02-02T03:00:00
evelyn01,123,UCI Mountain Bike World Championships,2022-06-23T17:00:00
evelyn01,129,Tour of Flanders 2028,2028-03-06T10:00:00
evelyn01,131,UCI Mountain Bike World Championships 2028,2028-09-23T19:00:00
turnerdorothy,75,French Open Women's Semi-final,2020-08-08T20:00:00
turnerdorothy,86,ATP Next Gen Finals 2028,2030-10-16T23:00:00
turnerdorothy,80,Davis Cup Final 2028,2028-11-04T03:00:00
tara74,278,Street Photography Walk,2022-11-04T18:00:00
tara74,277,Urban Photography Walk,2023-11-16T04:00:00
tara74,276,Nature Photography Walk,2022-07-21T01:00:00
tara74,284,Portrait Photography Walk,2030-02-09T18:00:00
anna07,322,Neuroscience Conference 2023,2020-06-27T04:00:00
anna07,320,Climate Change Conference 2023,2023-12-20T12:00:00
anna07,323,Physics and Astronomy Conference 2023,2020-11-01T23:00:00
anna07,327,Climate Change Conference 2028,2026-01-08T01:00:00
